secuencial,prov_ubi,cant_ubi,nombre_canton,parr_ubi,nombre_parroquia,clase,nombre_clase,entidad,nombre_entidad,sector,nombre_sector,tipo,nombre_tipo,area,nombre_area,region,nombre_region,medicina_general,medicina_familiar,pediatria,ginecologia_obstetricia,odontologia,medicina_interna
905,17,1701,Distrito Metropolitano De Quito,170103,Centro Histórico,24,Centro de Salud C,01,Ministerio de Salud Público,1,Sector público,4,Establecimientos sin internación,1,Urbano,1,Región Sierra,4,2,2,9,3,1
906,17,1701,Distrito Metropolitano De Quito,170130,San Juan,22,Centro de Salud A,01,Ministerio de Salud Público,1,Sector público,4,Establecimientos sin internación,1,Urbano,1,Región Sierra,1,0,0,1,1,0
907,17,1701,Distrito Metropolitano De Quito,170103,Centro Histórico,22,Centro de Salud A,01,Ministerio de Salud Público,1,Sector público,4,Establecimientos sin internación,1,Urbano,1,Región Sierra,1,1,0,1,1,0
908,17,1701,Distrito Metropolitano De Quito,170101,Belisario Quevedo,22,Centro de Salud A,01,Ministerio de Salud Público,1,Sector público,4,Establecimientos sin internación,1,Urbano,1,Región Sierra,4,4,2,2,3,0
909,17,1701,Distrito Metropolitano De Quito,170130,San Juan,22,Centro de Salud A,01,Ministerio de Salud Público,1,Sector público,4,Establecimientos sin internación,1,Urbano,1,Región Sierra,1,1,0,1,2,0
910,17,1701,Distrito Metropolitano De Quito,170130,San Juan,22,Centro de Salud A,01,Ministerio de Salud Público,1,Sector público,4,Establecimientos sin internación,1,Urbano,1,Región Sierra,1,1,0,1,1,0
911,17,1701,Distrito Metropolitano De Quito,170101,Belisario Quevedo,23,Centro de Salud B,01,Ministerio de Salud Público,1,Sector público,4,Establecimientos sin internación,1,Urbano,1,Región Sierra,2,0,0,0,1,0
912,17,1701,Distrito Metropolitano De Quito,170101,Belisario Quevedo,23,Centro de Salud B,01,Ministerio de Salud Público,1,Sector público,4,Establecimientos sin internación,1,Urbano,1,Región Sierra,1,0,0,1,1,0
913,17,1701,Distrito Metropolitano De Quito,170103,Centro Histórico,22,Centro de Salud A,01,Ministerio de Salud Público,1,Sector público,4,Establecimientos sin internación,1,Urbano,1,Región Sierra,1,3,0,2,2,0
914,17,1701,Distrito Metropolitano De Quito,170125,Puengasí,22,Centro de Salud A,01,Ministerio de Salud Público,1,Sector público,4,Establecimientos sin internación,1,Urbano,1,Región Sierra,1,1,0,1,1,0
